ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
3650,ファイル:Lenovologo(English).svg|thumb|レノボの旧ロゴ（2003年-2015年）1984年に、中華人民共和国の研究機関で中華人民共和国国務院|国務院直属事業単位である中国科学院の計算機研究所員11名が、20万人民元を基にして設立した。当時の名称は中国科学院計算所新技術発展公司で、外国ブランドの販売から出発した。1988年6月に香港聯想電脳公司を設立し、1989年11月に香港聯想集団公司に改称して香港で独自ブランドを発売した。同年に北京聯想計算機集団公司が成立し、1990年に中国内でも独自ブランドの販売に踏み切った。1994年に香港聯想集団公司は香港株式市場に上場し、1997年にレノボブランドが中国内のパソコン売上トップを記録、2000年のビジネスウィーク誌は聯想集団を世界IT企業100社中、8位にランクした。聯想集団は長らく「Legend」（レジェンド）というブランドを使用していたが、2003年、国外事業の強化に伴い、商標紛争が生じるおそれのあるこの名称を廃し「Lenovo」（レノボ）を採用した。2004年4月1日に英語社名も「Legend」から「Lenovo」に改めた。「Lenovo」は混成語で「le」は「Legend」から、「novo」は「新しい」を表すラテン語の「nova」から採られた。2004年のレノボによるIBM社のPC部門の買収により、株式の42.3%をレジェンドホールディングスという持株会社が保有しており、同持株会社の筆頭株主(65%)は中国政府機関の中国科学院である。中国政府は間接的にレノボの27.56%を保有しており、筆頭株主であるhttp:www.pc.ibm.comwwlenovoinvestor_factsheet.htmlLenovoGroupFactSheet。IBMは第2位の株主（議決権を有しない優先株）である。買収により、同社のPCの世界市場シェアは、単純計算でデル、ヒューレット・パッカードに次ぐ3位となった。レノボとIBMのPC部門の合併の後、本社は北京から米国ニューヨーク州パーチェスに移転した。2006年3月に、IBMのPC部門の本部があったノースカロライナ州モーリスビル（ローリー(ノースカロライナ州)|ローリー近郊）に本社を移転した。2008年北京オリンピックではトップスポンサーとして聖火リレーのトーチをデザインした。2011年に日本電気（NEC）のPC部門とドイツの大手PCメーカーメディオンを買収、アジア太平洋市場ではシェア1位をとり続け{{citenews|urlhttps:www.statista.comstatistics217341pc-market-share-in-asia-pacific-since-2009-by-vendor|titleMarketshareheldbyPCvendorsinAsiaPacific*from2009to2014|publisherStatistic|accessdate2018-07-03}}、中東アフリカ・ヨーロッパ・世界市場でもシェア2位となり{{citenews|date2013-03-27|urlhttps:mg.co.zaarticle2013-03-27-lenovo-set-on-leading-in-africa-pc-market|titleLenovosetonleadinginAfricaPCmarket|publisherM&G|accessdate2016-10-06}}{{citenews|date2011-12-01|urlhttp:jp.wsj.compublicpage0_0_WJPP_7000-353331.html|titleレノボがデルを抜いて世界2位のパソコンメーカーにIHS|publisherウォール・ストリート・ジャーナル|accessdate2018-07-03}}、2013年からは世界シェア1位のPCベンダーとなり{{citenews|date2013-07-11|urlhttp:pc.watch.impress.co.jpdocsnews607308.html|titlePC市場シェアでLenovoがHPを抜き世界一に|publisherPCWATCH|accessdate2016-10-06}}、2017年には富士通のPC部門を買収namepcwatch20171102namecnBeta、日本市場では1995年のNEC以来となる4割超のシェアを得た{{citenews|date2017-11-10|urlhttp:trendy.nikkeibp.co.jpatclcolumn151061226110800016|title【43.7％】レノボが富士通のPC事業統合　22年ぶり1強に|publisher日経BP|accessdate2018-01-24}}。2018年にTOP500でスーパーコンピュータのシェア世界1位のベンダーとなった{{citenews|date2018-06-26|urlhttp:j.people.com.cnn320180626c95952-9474883.html|titleスパコン「TOP500」で米国が首位に返り咲き|publisher人民網|accessdate2018-06-28}}。
3650,"創業者で現名誉会長の滝崎武光が、1974年に兵庫県尼崎市で「リード電機」として設立、1986年に社名を\""'''Key'''ofSci'''ence'''\""に由来する「キーエンス」（KEYENCE）に変更した。東京証券取引所|東証1部に上場。本社・研究所は大阪市東淀川区、新大阪駅の近くにある。2009年4月3日に、ジャストシステムとの資本・業務提携を行うと発表。第三者割当て増資により、ジャストシステムはキーエンスの持分法適用会社となる。"
3650,日本IBMは外資系の100%子会社で、創立は戦前の1937年、多数の日本人従業員を抱え国内企業との合弁を含む多数の関連会社を展開している、コンピュータ関連サービス企業である。戦後から1980年代まではコンピュータのハードウェアやソフトウェアのメーカーであった。当時の経済産業省|通産省が国産メーカー保護育成政策を取っていたことも背景に、コンピュータ分野における対立#日米コンピュータ戦争|日米コンピュータ戦争の当事者や、IBM産業スパイ事件の関係企業ともなった。1975年からの椎名武雄社長時代には、「SellIBMinJapansellJapaninIBM.」や「社会とともに」http:www-06.ibm.comjpprovisionno54index.htmlNo.54イノベーションを生み出すDNA-日本IBM創立70周年記念特集-「PROVISIONSummer2007No.54」のご紹介(日本IBM)を標語として、日本市場に合った製品・サービスの提供による日本の産業界への貢献を通じて「日本の企業」として認知されることを目標とした結果、規模の拡大が進み、社員は1万人、売上は1兆円を超え、最盛期には1兆7千億円を超える収益を達成したhttp:www-06.ibm.comjpprovisionno54pdf54_contribution.pdf日本IBM70周年椎名武雄特別寄稿(日本IBM)。日本市場の特殊性もあり、世界のIBMグループの中でもユーザーのシステム構築に深く参加したケースが多かったことも特徴である。現在ではIBMは世界レベルでもサービス事業の比率が売上の6割となったが、そのベースとなった。システムインテグレーター|SI（システムインテグレーション）事業は、日本IBMが先行していた分野とされる。かつて日本IBMで開発された製品は世界で展開されていた（詳細は''日本IBM大和事業所''を参照）。外部との交流も多く、{{要出典範囲|プロジェクトマネジメント学会で日本IBM社員が多数を占めていた|date2010年3月}}、日本IBM出身者が他の外資系企業の経営者となるケースが多かったhttp:itpro.nikkeibp.co.jparticleCOLUMN20070829280581富士通経営執行役の相次ぐ退社の波紋落ち目のIBMに代わり流出の宝庫に?(ITpro)、などとも言われる。大歳卓麻社長体制で21世紀に入って以降は、経営方針を一転した。GloballyIntegratedEnterprise|GIEhttp:itpro.nikkeibp.co.jparticleKeyword20090825335979知っておきたいIT経営用語-GIEとは(ITpro)の実践として、日本法人の独立性・独自性を排し、役員・部長レベルの主要幹部職へ米IBMやアジアからの多数の駐在員(IBMでは「アサイニー」(assignee)とよぶ)や社外からの人材を登用しhttp:www-06.ibm.comjppresspressroomryaku_yonamine.htmlIBMポール与那嶺略歴、IBMCorporation全体としての組織・製品・サービスの最適化による効率(利益)の最大化を追求しているhttp:www-06.ibm.comjpprovisionno54foront1.html21世紀型の企業であるGIEを目指す、ビジネス・モデルのイノベーション(日本IBM2007年夏)。具体的には、米IBMの「2015年通期での一株当たり当期純利益|EPS20ドル以上達成」{{citenews|title米IBMの第4四半期利益は予想上回る、サービス契約が増加|newspaperロイター|date2011-01-19|urlhttp:jp.reuters.comarticletopNewsidJPJAPAN-19079520110118|accessdate2011-01-20}}への貢献を最優先の経営目標としていたが、2001年以降12期連続の減収決算でピーク時のほぼ半分まで売上が減収し続けたため、利益確保のために、恒常的な事業売却とリストラや昇進・昇給の凍結、減俸{{Citeweb|date2009-06-02|urlhttp:www.jmiu-ibm.org200906439.html|title519中央団交報告——前代未聞！前年並みの利益を上げている会社が「昇給の無期限凍結」|publisherJMIU日本アイビーエム支部|accessdate2011-01-20}}を含む徹底的なコスト削減努力を続けた{{citenews|title日本IBMの前12月期単体、売上高が23年ぶり1兆円割れ−IT投資抑制響く|newspaper日刊工業新聞|date2010-03-22|urlhttp:www.nikkan.co.jpnewsnkx0220100322bjan.html|accessdate2011-01-20}}http:japan.zdnet.comciosp_09ohkawara3501672710年で売上高が半減した日本IBM、最大の課題は「業績」（ZDNetJapan）。2012年5月15日、同社として56年ぶりとなる2人目の外国人社長が就任した頃から、売り上げ減少には歯止めがかかった。（業績の数字については''#業績の推移''を参照）2014年には、全国4カ所に支社を配置した。http:www-06.ibm.comjppress2012033001.html役員人事のお知らせ　http:cloud.watch.impress.co.jpdocscolumnkeyman20140620_654197.html（日本IBM）。
3650,"家庭用電気機械器具の製造部門であった日本電気ホームエレクトロニクスが1990年代後半の業績悪化により、1999年9月28日に発表されたNECグループの大規模構造改革によって事業分割・移管のうえ解散が決定したことに伴い、2000年1月18日に同社から照明事業を分社独立してNECライティングが設立されたhttp:www.nec.co.jppressja00012803.html映像ヒューマンインターフェイス新会社「ＮＥＣビューテクノロジー株式会社」ライティング新会社「ＮＥＣライティング株式会社」を設立。2005年6月、液晶テレビ用の蛍光管を製造する工場を長野県伊那市に設立したが、2010年11月に閉鎖したhttp:www.j-cast.com20120623136691.html?p2「工場誘致で払った補助金返せ」地元自治体、撤退企業にブチ切れるJ-castニュース（2012年6月24日）同日閲覧。2019年4月、NECグループの照明事業撤退に伴い、日本みらいキャピタルが100%出資する新会社ホタルクスname\""nelt_20190306\""http:www.nelt.co.jpcorporatepress2019-03-06.html2019年4月1日付け、会社分割法による事業承継について-NECライティング、2019年3月6日が事業を譲受したhttps:jpn.nec.compress20181120181129_01.html「2020中期経営計画」における収益構造改革の実施状況について-日本電気プレスリリース、2018年11月29日。日本電気はホタルクスの5%分の株式を受領するname\""nelt_20190306\""。NECブランドは継続使用する。"
3650,1973年に三菱電機の関係会社として静岡県大東町(静岡県)|大東町設立登記時点では城東村(静岡県小笠郡)|城東村であったが、直後の4月1日付で大浜町(静岡県)|大浜町と合併して大東町となっている。現在の掛川市。に設立された菊川照明株式会社（現・掛川南工場）を母体とするhttp:e-jan.kakegawa-net.jpbbsbbs_list.php?root_key586252&bbs_id171897「地元掛川生まれのLED！」生産現場へGO！～三菱電機照明株式会社静岡工場へ～、カケレコ。1989年に三菱電機本社の照明器具部門が移管され、現商号に変更された。そのため現在の本社は同部門があった鎌倉市大船にある。2012年10月に三菱電機グループ内の照明事業再編により、ランプ製造メーカーであるオスラム・メルコ株式会社（現・掛川北工場）、その販売会社である三菱電機オスラム株式会社の両社を吸収する形で統合された。商品は「MITSUBISHIオスラム|OSRAM」ブランドで販売されているが、三菱製の照明器具やランプは近年量販店で殆ど販売されなくなり、ネット通販や系列店「三菱電機ストアー」での販売が中心となっている。
3650,東芝・芝浦製作所・徳田製作所・東芝精機の4社の合併企業である。設立当初は、重電だったが、芝浦メカトロニクスに改名後、事業基軸を「デジタル時代のインフラプロバイダー」と定め、半導体・薄型テレビ|FPD・光ディスクなど、エレクトロニクスコンポーネンツの製造装置メーカーとなる。液晶製造用洗浄装置やDVD成膜装置・同貼り合わせ装置で世界首位の精密機械メーカーで、半導体製造装置を育成中。
3650,1987年に創立され、2002年には半導体生産トップ10、2014年には半導体売り上げ3位に入り、初めて全世界のファウンドリチップ製造量の半分を超えた{{Citenews|urlhttp:eetimes.jpeearticles150205news072.html|title半導体メーカーの設備投資——TSMCが最大か|newspaperEETimes|authorRickMerritt|date2015-02-05|accessdate2015-10-24}}。2017年のファウンドリ市場シェアは55.9%{{Citenews|urlhttps:news.mynavi.jparticle20171130-550195|titleTSMCが2位以下に大差をつけて首位を堅持-2017年のファウンドリランキング|newspaperマイナビニュース|date2017-11-30|accessdate2018-08-27}}。台湾証券取引所、ニューヨーク証券取引所に上場している。顧客企業はクアルコム、アップル(企業)|アップル、アドバンスト・マイクロ・デバイセズ|AMD、NVIDIAなどの製造ラインを持たない企業（ファブレス）が多く、数百社に上る。
3650,企業ロゴマークは「グローブマーク」といい、ソール・バスがデザインした旧ミノルタ時代のロゴマークを継続して用いている。地球をイメージしたデザインに「光学」「化学」「電気」「機械」「ソフトウェア」の画像情報の分野における技術力の総結集をイメージした5本のラインと、楕円形はユーザーに対する信頼と安心を提供し、また技術力の結集と調和を表すシンボルとしている。またシンボルカラーは独創的な発想を促す「イノベーションブルー」である。コミュニケーションメッセージ（スローガン）は「GivingShapetoIdeas（ギヴィング・シェイプ・トゥ・アイディアズ）」で、顧客と共に新しい価値の創造を目指す企業姿勢を表現している。なお、経営統合時から2011年9月まで使われていたコミュニケーションメッセージは「Theessentialsofimaging（ジ・エッセンシャルズ・オブ・イメージング）」で、これも旧ミノルタのコミュニケーションメッセージを継承したものであった。かつては子会社のコニカミノルタフォトイメージング株式会社を通じて、カメラやデジタルカメラ、フィルムなど写真関連用品も扱っていたが、2006年3月限りで撤退した。カメラは、旧コニカ、旧ミノルタの歴史を引き継いでいたが、ソニーに引き継がれた。みどり会の会員企業であり三和グループに属しているhttp:www.midorikai.co.jpmember.htmlメンバー会社一覧-みどり会。
3650,前身の一つの'''松下電池工業株式会社'''（まつしたでんちこうぎょう）は1979年にパナソニック|松下電器産業の電池事業部を事業部ごと分社しナショナルマロリー電池を合併させて発足した。それ以前は「松下電器産業電池事業部」であったが、1965年に水銀電池・アルカリ乾電池の生産はマロリー社（現・デュラセル）と提携し「ナショナルマロリー電池㈱」が設立されていた為に、マンガン乾電池は松下電器産業、アルカリ乾電池・水銀電池はナショナルマロリー電池が製造していた。
3650,携帯電話などのモバイル通信や無線LANシステムの開発・製造・保守に不可欠な「ワイヤレス計測」、「光計測」、IPネットワークの円滑な運用を実現する「IPネットワーク計測」およびネットワーク全体のパフォーマンスやサービス品質の向上をサポートする「サービスアシュアランス」を核に計測器事業を展開。NextGenerationNetwork|NGN(NextGenerationNetwork)の構築を支えるさまざまなテストソリューションを提供している。
3650,1937年設立のOA機器の総合メーカー。主な事業内容として、オフィスビジネスユニット（オフィス向け複合機、レーザー複合機、レーザープリンターなど）、イメージングシステムビジネスユニット（レンズ交換式デジタルカメラ、コンパクトデジタルカメラ、デジタルビデオカメラ、交換レンズ、インクジェットプリンターなど）、産業機器その他ビジネスユニット（半導体露光装置、フラットパネルディスプレー露光装置、医療画像記録機器など）を展開している。米州、欧州など海外売上高比率が極めて高い。16年12月に医療用機器を手掛ける東芝メディカルシステムズ（TMSC）を子会社化した。'''1949年の上場以来、年間での赤字は一度も無い。'''TOPIXCore30の構成銘柄の一つでもある{{Citeweb|urlhttp:www.jpx.co.jpfilestsenews17b7gje6000002vm4e-attmeigara-201210-j.pdf|titleTOPIXニューインデックスシリーズ及び東証規模別株価指数の構成銘柄|publisher日本取引所グループ|accessdate2015-04-20}}。
3650,村田昭により、1944年10月に京都市中京区四条大宮北（四坊大宮町）の元染物工場を借りて工場として創業。元々はがいしなどの陶器製品を製造する町工場であった。主力商品はコンデンサー|セラミックスコンデンサーで世界随一のシェアを占める。その他にも、セラミックフィルタ、高周波部品、センサー部品も強い。いずれも世界的に圧倒的なシェアを持つ。原材料からの一貫生産に特徴がある。村田製作所は積層セラミックコンデンサーでトップの地位を走るが、「にじみ出し戦略」と呼ぶ周辺分野の企業とのアライアンス、M&Aを進めており、ここ数年は周辺の部品に領域を拡大している。さらに自動車、エネルギー（電池事業）、ヘルスケアなどの注力市場やIoTなどの新規市場に対して研究開発を促進し事業拡大を図るため、2020年には横浜市・横浜みなとみらい21|みなとみらい地区に新たな研究開発拠点となる「みなとみらいイノベーションセンター」を開設予定であるhttps:www.murata.comja-jpaboutnewsroomnewscompanygeneral20171129村田製作所新たな研究開発拠点「みなとみらいイノベーションセンター」を横浜みなとみらい21地区に設立（株式会社村田製作所2017年11月29日）。会社としては1950年12月23日の設立だが、村田昭は生産を始める前に火を使う仕事なので（火の神様である）愛宕神社へお参りした。これを記念として後に村田製作所の創業記念日は10月15日と決められているhttp:www.murata.co.jpcorporatehistorychapter01.html。2000年代以降は新聞・テレビ広告にも力を入れ、「村田製作所は何をセイサクしているんだろう」という出だしで始まるテレビコマーシャルや、村田“科学少年少女”製作所といったテーマで展開される新聞広告など、企業イメージ向上に努めている。特に同社の技術を集めたムラタセイサク君というロボットが注目を集めている。2014年に会社ロゴを変更http:www.murata.comja-jpaboutnewsroomnewscompanygeneral20140401cロゴマーク変更のお知らせ。以前はお盆と正月に集中的にテレビコマーシャルを放映していたが、これは社員が帰省した際、「村田製作所」という社名から、町工場に勤めているものと勘違いされることが多かったということを踏まえてのものであった。また、採用活動のPRも目的としている。
3650,液晶ディスプレイ（LCD）の大手メーカーの一つであり、主にスマホや車載などに使われる小型ディスプレイを製造している。日立製作所が1995年に実用化した薄膜トランジスタ(TFT)液晶の一種であるIPS方式の特許を継承する。また、TFT液晶を高精細化する低温ポリシリコン（LTPS）の技術に強みを持ち、これらを組み合わせた高品位な液晶パネルが日立製作所時代からの主力である。さらに、液晶パネルとタッチセンサーを一体化した「インセル型」のタッチパネルの技術「PixelEyes」をソニーから継承し、2012年には競合他社に先駆けてインセル型LTPS液晶の安定量産に成功する。これはタッチセンサーを液晶のガラス基板の上に乗せた従来の「オンセル型」よりも薄くて明るいスマホを作れるため、アップル社が2012年に発売したスマートフォンiPhone5以降の高級スマホで採用されている。法人としては、かつての日立製作所のディスプレイ部門(日立ディスプレイズ)に日本の各ディスプレイ会社が統合されたものであり、1935年に千葉県茂原市に設立された理研真空工業を源流に持つ。1936年より茂原工場にて真空管及び電球の製造を開始した。1943年に太平洋戦争における戦時統合で日立製作所と合併し「日立製作所茂原工場」となり、1958年よりブラウン管ディスプレイを製造、1994年より液晶ディスプレイの製造を開始し、1996年より茂原工場にて世界初となるIPS液晶の量産を開始した。茂原工場は2005年に「IPSアルファテクノロジ」として分社化され、一時期パナソニック（パナソニック液晶ディスプレイ）の傘下にあったが、「ジャパンディスプレイ」の名のもとに日本の中小型ディスプレイ会社を集約するため、2012年に産業革新機構が買収し、テレビ向け大型パネルの製造からスマホ向け中小型液晶パネルの製造に転換した。現在も茂原工場はジャパンディスプレイの拠点工場となっている。2012年に発足、2013年に各社の統合が完了して「株式会社ジャパンディスプレイ」となり、2014年上場。韓国・台湾勢との競争による液晶パネルの価格下落で、赤字が続いていた日本の各電機メーカーのディスプレイ事業のうち、スマホ向けに利益が見込める中小型液晶パネル事業のみを、日本政府系の投資ファンドである産業革新機構の主導で再編した会社である。これによって、中小型液晶で世界シェア1位の「日の丸液晶」パネルメーカーが誕生した。アップル社を始めとする各社の高級スマホに採用されるなど当時のスマホ普及の流れに乗り、発足当初は非常に好調で、2014年には設立から2年のスピード上場によって、産業革新機構の投資を（一部）回収することに成功したため、当時は官製再編の成功例ともされた。2015年から2016年にかけては、当時経営危機にあったシャープの液晶部門（中小型液晶で当時の世界シェア2位）をジャパンディスプレイ社に救済合併するため、産業革新機構と鴻海グループとでシャープの争奪戦を繰り広げたことでも話題になった。しかし2014年以降、有機ELディスプレイ（OLED）の販売を拡大する韓国勢や、液晶ディスプレイの技術を向上させる中台勢に押されて次第に苦境となる。アップル社への依存率が高く、iPhoneという一つのスマホの売れ行きとアップル社の意向に左右される不安定な経営と、液晶ディスプレイの性能向上に注力するあまりに有機ELディスプレイのトレンドを軽視し、2016年にアップル社から1700億円を借り入れて第6世代LTPS液晶ラインを導入したJDI白山工場を建設するなど液晶事業に過大な投資を行ったことと、アップル社が2017年に発売したスマートフォンiPhoneX以降の高級スマホでは競合他社の有機ELパネルが採用されたことなどにより、2018年度まで上場以来5期連続の赤字となることから、2019年に産業革新機構に代わって中台企業連合「Suwaコンソーシアム」の傘下となり、再建を図っている。
3650,"2015年12月24日に、富士通がPC事業ならびに携帯電話事業の分社化について公表したhttp:pr.fujitsu.comjpnews20151224.html会社分割（簡易新設分割）による子会社設立に関するお知らせ-富士通プレスリリース2015年12月24日（2018年03月08日閲覧）。2016年2月1日に、富士通コネクテッドテクノロジーズ株式会社として発足する。2018年1月31日に、富士通が富士通コネクテッドテクノロジーズの株式を日系投資ファンドのポラリス・キャピタル・グループに譲渡するname\""jyouto\""http:pr.fujitsu.comjpnews20180131.html携帯端末事業の再編に関する株式譲渡契約の締結について-富士通プレスリリース2018年1月31日（2018年03月08日閲覧）旨を発表した。株式譲渡後、富士通の保有株式は30パーセントとなるname\""jyouto\""。10月1日に子会社の富士通モバイルコミュニケーションズを統合した。"
3650,元来は創業家の不動産資産管理会社であったが、2003年（平成15年）10月1日に、グループの持株会社となる。傘下企業としてBUFFALOブランドでパーソナルコンピュータ|パソコン周辺機器を製造して販売するバッファロー(パソコン周辺機器)|株式会社バッファロー、PCパーツ類を開発して販売するシー・エフ・デー販売株式会社、ITサービスを提供する株式会社バッファロー・IT・ソリューションズ、のほかに台湾、アメリカ合衆国|米国、イギリス、アイルランドなどに現地法人がある。2012年（平成24年）現在、牧一族および一族の資産管理会社が主要株主である。「メルコ」を冠した子会社が存在する三菱電機グループとは関係ない。
3650,生産ライン|製造ラインを短期的に組み直しすることで、多様な家電製品を安価で大量生産することに優れている（F.P.S.フナイ・プロダクション・システム）。専ら日本国外への輸出、および他メーカーへのOEM供給を行っている。日本市場では三菱や東芝ブランドの他、2001年から2017年にかけては子会社であるDXアンテナの名義で「DXBROADTEC」ブランドのテレビやレコーダーなどを製造していた（DXアンテナは2017年にエレコムに売却）。北米市場ではマグナボックス|Magnavox、Philips、エマーソン|Emerson、Kodak、三洋電機|Sanyoブランドのテレビやレコーダーなどを製造している。1980年代には自社の「'''Funai'''」ブランドで日本国内のテレビ市場に参入。スーパーやディスカウントショップで売られている激安テレビの覇権を、韓国の金星社(現LG)や三星電子(Samsung)などと争い知名度を上げた。2000年代以降にはブランド力を高める方針を取った2社とは対照的に、船井電機はOEMなどの黒子に徹する方針を取ったため、自社ブランドの知名度は下がったが、業績は拡大している。特に北米市場における液晶テレビのシェア(他社のブランドを全て含む)はSamsung・VIZIO・LGに次ぐ4位（2016年度）であり、日本企業の中では最も高い。近年は液晶テレビやBDDVDレコーダー、3D対応BDプレイヤー、デジタルハイビジョンチューナーなどの製品をコンスタントに市場へ投入している。かつてはアーケードゲーム用テレビゲームの製造・販売も手がけていた。Funaiブランドの製品は、日本市場では2017年よりヤマダ電機で独占的に展開されている。北米ではウォルマートを中心として展開し、ブランド認知度は高い。アジア・欧州市場や新興国市場にも販路を広げているが、北米市場の比率が77％(2016年)と極めて高く、このうち6割はテレビである。日本国内向けにVHSビデオデッキを製造・販売する最後のメーカーであったが、2016年7月をもって生産を終了した。なお、大阪市にある経営コンサルティング会社「船井総合研究所」とは無関係。また新潟精密（電機部品メーカー）やプロピア等の親会社である「船井興産」は、船井電機の創業者・船井哲良の資産管理会社という点で人的なつながりはあるが、直接的なつながりはないただし、船井哲良は当社の発行済株式の13強を保有する筆頭株主でもあり、その意味では兄弟会社として見ることもできる。。
3650,創業者である松本望がアメリカ製のダイナミックスピーカーを聴き「いつか必ず自分の手で純国産のスピーカー（ユニット）を作りたい」と、1937年（昭和12年）に初の純国産ダイナミックスピーカー「'''A-8'''」を自らの手で開発したことより始まった。「'''パイオニア（PIONEER）'''」とは、そのスピーカーの商標であった。翌年、'''福音商会電機製作所'''を設立し、販売を開始したhttps:pioneer-headphones.comjapanesese-master1philosophyA-8と箱の写真-パイオニアのヘッドフォン「SE-MASTER1」の紹介ページ。箱には「PIONEER」と「FUKUINSHOKAIDENKISEISAKUSHO」の字が書かれている。。なお松本は後に印刷会社も興し、この会社は「フクイン（旧称・福音印刷）」としてパイオニア製品の取扱説明書やカタログの印刷を担当している。1961年（昭和36年）には商標であったパイオニアを!--正式に--社名とした。その後、世界初のセパレート型ステレオを発売し、オーディオブーム全盛の頃には山水電気（サンスイ、2014年7月に破産）、トリオ（後のケンウッド、現・JVCケンウッド）と並びオーディオ御三家（俗にいう'''サン・トリ・パイ'''）と呼ばれており、特にオーディオマニア|オーディオファンからは「'''スピーカーのパイオニア'''」で親しまれたhttps:biz-journal.jp201412post_8265.htmlパイオニア、オーディオ王者の没落自ら成長の道閉ざし巨額負債、カーエレ注力も周回遅れビジネスジャーナル、2014年12月12日。しかし、音楽がアナログからデジタル、デジタルからスマホで聞く時代へと移り変わる波にのまれ、2014年にAV事業を手放すことになったhttps:www.nikkei.comarticleDGXLASDZ1606J_W4A910C1TJ1000パイオニア、AV手放す　グループ2200人削減へ-日本経済新聞。ホームオーディオを含むホームAV事業は、2013年7月から2015年2月までは子会社|機能子会社のパイオニアホームエレクトロニクス株式会社が取り扱っていたが、同社の全株式はオンキヨーに譲渡され、2015年3月よりオンキヨーの機能子会社のオンキヨー&パイオニアに移管した。なお、事業移管後もパイオニアのブランドはこれまで通り維持される。ソニー、パナソニック、日立製作所、東芝、三菱電機などと比べると規模は小さいが、自社の得意分野への「選択と集中」を早期から進めており、2000年代から2010年代にかけては、ホームエレクトロニクス事業においてはプラズマテレビとDVDプレーヤー、カーエレクトロニクス事業においてはカーナビゲーションに注力していた。しかしプラズマテレビは液晶テレビとの競争に敗れ、カーナビゲーションもスマートフォンの普及で販売不振となり、キャッシュフローが悪化https:japanese.engadget.com20181207pioneerパイオニアが上場廃止へ　香港系ファンドの完全子会社に-Engadget日本版。2018年には香港の投資ファンドの傘下に入り、再建を図っている。個々の事業においては優れた技術力とブランド力を持つ。また、カーナビゲーション、およびカーオーディオ等のカーエレクトロニクス関連、PC用光学ドライブ（2016年現在はほぼBlu-rayDisc|BDDVD対応のマルチドライブのみ）については他社へのOEM供給も行なっている。2019年3月上場を廃止。香港の投資ファンドの完全子会社になった。カーナビゲーションがスマートフォン等のアプリの普及により、売り上げが鈍化していたことなどが経営不振の一翼であった。
3650,超音波検査|超音波診断装置、骨粗鬆症診断装置、放射線測定装置、バイオテクノロジー|バイオ関連装置、検体検査装置、分注装置などを手がけた。特に超音波診断装置については、世界で初めて製品化したパイオニアとして知られ、国内のみならず広く海外にも展開していた。
3650,神奈川県川崎市高津区末長(川崎市)|末長三丁目3番17号に本社をおき、東京証券取引所1部へ上場している。旧来はブラウン管テレビ受像機|テレビ（1995年頃に撤退）を主力製品としたが、現在は売上額8割以上がエア・コンディショナーや空気清浄機|脱臭機など冷暖房、空調機器で、約6割をルームエアコンのシェアが高いヨーロッパ#ヨーロッパの国々|ヨーロッパ、中東#中東の国-首都の一覧|中東、オーストラリア各国など日本国外で売り上げる他、防災無線|市町村防災、消防無線|消防救急、業務無線|タクシー無線など各種ソリューションも取り扱う。1963年、ホームシアターを商標登録するが、1999年に無償開放する。1993年、プラズマディスプレイを「プラズマビジョン」として21インチ#インチサイズで表される工業製品|インチサイズで世界で初めて商品化する。1997年11月、42インチディスプレイ#アスペクト比|ワイドタイプ16:9画面プラズマテレビプラズマディスプレイを世界で初めて商品化、発売。2001年3月にフルデジタルビデオプロセッサ画像エンジン「AVM」を開発、搭載した16:9画面プラズマテレビを世界で初めて商品化し、同業他社からもソニー「ベガ(テレビ)|ベガエンジン」などが開発される。2003年、フィルター自動清掃機構をルームエアコンとして世界で初めて搭載する「nocria（ノクリア）」を発売し、2006年以降、同業他社からも類似機能を搭載するエアコンが発売される。国内販売するエアコンは「FUJITSU」ブランドだが、中東や香港、ロシア、南ヨーロッパでは「GENERAL」「FUJITSU」両ブランドで販売され、中国では「富士通將軍」と呼称される。富士通ゼネラル、日本ゼネラルアプライアンス、アメリカのゼネラル・エレクトリック、イギリスのゼネラル・エレクトリック・カンパニー、各四社は相互に無関係である。
3650,1981年設立。ワンセグ|ワンセグ・モジュールやETC|ETCモジュール、電圧制御発振器|VCOといったモジュール製品の開発・生産を行なっている。
3650,主に携帯電話で使われる表面弾性波フィルター|表面波フィルタ、高周波部品等の生産をおこなっている。1988年10月には金沢市に所在した金沢電子製作所を吸収し、西金沢工場として開設。その後、西金沢工場は閉鎖された。2008年7月には仙台工場が開設された。
3650,自動車電池、産業用電池、電力貯蔵用電池、特殊電池、燃料電池などの電池や比較的大規模の電源回路|電源装置を中心に開発・製造・販売をしている。自動車・二輪車用の鉛蓄電池で国内のシェアはトップ、世界でも第2位のシェアを占める。バッテリー会社としてのイメージが大多数を占めるが、バックアップ電源システムや無停電電源装置などのシェア率は国内トップである。東京証券取引所第1部に上場している。ちなみに「ジーエス（GS）」とは旧・日本電池のブランドであり、創業者である島津源蔵_(2代目)|島津源蔵のイニシャルに由来する。
