株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
三菱食品株式会社,主な取引先は、[[イトーヨーカ堂イトーヨーカドー]]、[[ダイエー]]、[[イオン(企業)イオン]]、[[ローソン]]、[[Amazon.co.jp]]など。主要株主は[[三菱商事]]で、同社が株式の過半数を保有し親会社となっている。[[三菱グループ]]の一員であり、三菱広報委員会&lt;ref&gt;[http://www.mitsubishi.com/mpac/j/三菱広報委員会]&lt;/ref&gt;の会員企業でもある&lt;ref&gt;[http://www.mitsubishi.com/mpac/j/companies/三菱広報委員会-会員会社紹介]&lt;/ref&gt;。[[2011年]]に[[三菱商事三菱]]系の食品卸である菱食、[[明治屋商事]]、[[サンエス(菓子卸売企業)サンエス]]、[[フードサービスネットワーク]]の食品卸4社が経営統合し、誕生した。売上高2兆円を超える巨大企業となり、食品卸業界では第1位である。全国に物流網を網羅し、その物流システムには評価が高い。特に[[中国地方]]での[[酒類]]流通では、全く他を寄せ付けない。このほか、[[ティムタム]]や[[ハリボー]]など、外国の菓子製品の輸入販売を行っている。食品・酒類メーカーの既存製品を小売店に卸売りするだけでなく、三菱食品が主導する新商品開発や、小売店の[[プライベートブランド]]（PB）商品開発支援なども手掛けている&lt;ref&gt;[https://www.mitsubishi-shokuhin.com/solution/development.html三菱食品・商品開発]（2018年6月11日閲覧）&lt;/ref&gt;。
クラシエフーズ販売株式会社,前身企業に[[ハリスの旋風]]のスポンサーである[[ハリス(菓子メーカー)ハリス]]（本社：[[大阪市]]）、[[榎本健一]]のCMソングで有名な粉末ジュース「'''渡辺のジュースの素'''」で知られる[[渡辺製菓]]（本社：[[名古屋市]]）が入っている。以前は[[カップ麺]]事業（「ノンフライ[[タンメン]]」（発売当時[[ザ・ドリフターズ]]のCMで注目を集めた）、「広東麺」シリーズ、「ホームラン軒」シリーズ等を発売。また[[1980年代]]中期には激辛フレーバー系カップ麺の源流とされる「カラメンテ」シリーズを発売したこともある。特筆すべき点は[[1970年代]]にカップ麺としては初めて[[ノンフライ]]製法を業界で導入したことである。）も行っていたが、[[2004年]]にカネボウの事業リストラに伴い撤退。カップ麺事業は[[冷凍食品]]メーカーである[[テーブルマーク加ト吉（現・テーブルマーク）]]へ事業譲渡され、子会社の[[飲料]]メーカー[[エルビー]]は[[アサヒビール]]（現・[[アサヒグループホールディングス]]）へ株式譲渡し、同社の傘下におさめた。
株式会社大塚商会,[[大塚実]]&lt;ref&gt;現相談役名誉会長&lt;/ref&gt;により、1961年7月17日創業（会社設立は同年12月13日）。創業当初は[[ジアゾ式複写機]]と感光紙の販売を行っていたが、後に[[オフィスコンピュータ]]や[[FAX]]などのOA機器商社として急成長を遂げ、[[パーソナルコンピュータ]]や企業ネットワークの普及に伴ってソリューションプロバイダへ事業領域の拡大を果たした。現在は、[[コンピュータ]]・ネットワーク関連の[[システムインテグレーション]]事業と、[[コンピュータ]]機器の保守、[[アウトソーシング]]を中核とするサービス&amp;サポート事業「たよれーる」、事務機器用品・[[LED照明]]・オフィス雑貨を中心とする[[通信販売カタログ通販]]サービス&amp;サポート事業「たのめーる」の3事業を中核としている。また、同社は2000年から障害者が働きやすい職場を目指しておりダイレクトメール発送等の業務を行うなど障害者雇用に積極的な企業として知られている。
株式会社シモジマ,そのゴルフ場の利用権を得る事によりビジター（非会員）に比べ割安でプレー可能となる他、会員優先枠での予約も可能となる権利である。またクラブ競技会等への参加資格も得る事が出来る。ゴルフ会員権は[[市場]]で取引されており、[[株式]]のように[[時価]]で売買される。日本では[[バブル景気]]時に、ゴルフ会員権が[[投資]]・[[投機]]の対象の一つとなり、相場が急騰したが、[[バブル崩壊]]と共に相場が下落し、また[[ゴルフ]]人口の減少もあり、投資・投機としての魅力は殆ど無くなった&lt;ref&gt;[http://www.tv-tokyo.co.jp/mv/nms/pricewatch/post_94103/【プライスウオッチ】ゴルフ会員権の価格低迷〜価値創造に新たな動き〜：ニュースモーニングサテライト]テレビ東京&lt;/ref&gt;&lt;ref&gt;[http://biz-journal.jp/2013/02/post_1571.htmlいまさらゴルフ会員権を勧める東洋経済のなぜバブル感覚の投資解説は効果薄い!？]ビジネスジャーナル&lt;/ref&gt;&lt;ref&gt;[https://www.meti.go.jp/report/downloadfiles/g20911bj.pdfゴルフ場事業再生に関する検討会報告書]経済産業省&lt;/ref&gt;。[[アベノミクス]]以降、[[東京証券取引所]]の株価（[[日経平均株価]]）が高くなった当初の2013年頃には、ゴルフ会員権業者が上昇したと主張することもあったが&lt;ref&gt;[http://news.livedoor.com/article/detail/7841373/アベノミクスはゴルフ会員権まで波及していた！佐川八重子(ゴルフ会員権業者「桜ゴルフ」代表取締役）]ライブドアニュース2013年7月9日記事&lt;/ref&gt;、2013年後半から低迷して、ゴルフ会員権の価格は上昇しておらず&lt;ref&gt;[http://toyokeizai.net/articles/-/70173ゴルフ会員権、株高についていけない理由]東洋経済オンライン2015年5月23日記事&lt;/ref&gt;、関東地方の平均価格は、アベノミクス前の価格を下回り、[[バブル崩壊]]後の最安値圏になっている&lt;ref&gt;[http://www.nikkei.com/article/DGKKASDJ02H3L_T00C16A6MM0000ゴルフ会員権、値下がり団塊世代遠のく、法人需要鈍く関東、アベノミクス前下回る：]日本経済新聞2016年6月3日記事&lt;/ref&gt;。2017年10月の[[日本経済新聞]]でも「株高に追随できず」と明確に示されている&lt;ref&gt;[https://www.nikkei.com/article/DGXMZO22129280R11C17A0QM8000/ゴルフ会員権相場株高に追随できず：日本経済新聞]2017年10月11日記事]&lt;/ref&gt;。2017年末より相場上昇が起きており現在に至っている。日本経済新聞によると高額コースへの法人需要や、株高による個人の購入が活発化しているという。かつてはゴルフ会員権についての特別の法規制はなかったが、ゴルフ会員権の[[詐欺]]事件として注目された「[[茨城カントリークラブ事件]]」がきっかけで[[ゴルフ場等に係る会員契約の適正化に関する法律]]が制定され、法規制されている。
株式会社ロジクール,主に以下の製品を販売する。*[[マウス(コンピュータ)マウス]]・[[トラックボール]]・[[キーボード(コンピュータ)キーボード]]などの[[入力機器]]*ゲーミング向け周辺機器（マウス、キーボード、ヘッドセット、[[ドライビングシミュレーター]]、[[フライトシミュレータ]]、[[ゲームコントローラ]]など）*[[iPad]]・[[タブレット(コンピュータ)タブレット]]向けモバイルデバイス（充電スタンド、ケースなど）*PCスピーカー、Bluetoothスピーカー*[[ヘッドセット(音響機器)ヘッドセット]]*[[Webカメラ]]、[[ビデオ会議]]向け製品*プレゼンテーション用ポインターゲーミング向け製品については特に「{{langenLogicoolG}}」のブランドで販売している。このほか、ポータブルスピーカーを開発する米国の[[アルティメット・イヤーズ]]({{langenUltimateEarsUE}})、スポーツに特化した[[ヘッドフォンイヤホン]]を開発する米国の[[ジェイバード(企業)ジェイバード]]({{langenJaybird}})、ゲーミング向けヘッドセットや[[アンプ(音響機器)アンプ]]を開発する米国の{{langenASTROGaming}}、各社の製品に関して、日本ではロジクールが販売代理店となっている。なお、スイス本社の{{langenLogitech}}({{langfrLogitechInternationalS.A.}})と日本のコンピュータ周辺機器メーカーである[[ロジテック]]株式会社({{langenLogitecCorp.}})は無関係である。
クラシエホームプロダクツ販売株式会社,業種の性格上、兄弟会社だった[[カネボウ化粧品]]と競合する製品が多く見られる。親会社のカネボウが'''クラシエ'''と[[2007年]][[7月1日]]に社名を改めるのに先駆け同年6月1日付けで旧社名の'''カネボウホームプロダクツ'''から現在の社名となった。
フィールズ株式会社,主な業務内容は[[パチンコ]]機・[[パチスロ]]機の全国パチンコ店への販売である。また、キャラクターなどの権利を取得してパチンコ・パチスロメーカーに提案している。旧商号は東洋商事株式会社。代表取締役会長の[[山本英俊]]は、[[カジノドライヴ]]や[[フライングアップル]]等の競走馬を所有する[[馬主]]でもある。
アスワン株式会社,[[インテリア]]資材ならびに製品の企画・販売をおこなう企業。[[1947年]]に広島で'''大阪装飾工業営業所'''として創業される。しかし程なくして経営難に陥り、大阪にあった本社側に吸収され、のちに社名を'''大装'''に改称する。[[1963年]]には、同社のオリジナルブランド「アスワン」を立ち上げ、同社を代表する製品になったことから、[[1992年]]に旧社名の「大装」から現社名に社名変更。同社の社名ならびにオリジナルブランドでもある、アスワンは[[エジプト]]にあるアスワン地方のことで、[[エジプト文明]]発祥の地であり、[[ナイル川]]の源流でもあるアスワン地方（実際には[[タンザニア]]の[[ビクトリア湖]]が源流）にあやかって、新しい文化創造の源流となれるようにという願いを込められて名付けられた。[[2001年]]には業界では初めてとなる光触媒壁紙「スーパーチタン」を開発・発売し、また世界初のPTT繊維（コルテラ）使用のカーペットを商品化しており、環境配慮にも積極的な企業の一つである。*本社所在地：大阪府大阪市西区南堀江1丁目11番1号*東京本店：東京都港区芝浦4丁目16番36号
株式会社新出光,ガソリンスタンドを九州地方を中心に[[中国地方中国]]・[[近畿地方近畿]]・[[東海地方東海]]・[[関東地方]]の各地に約600か所展開し、[[JXTGエネルギー]]（ENEOSブランド）、[[昭和シェル石油]]、[[コスモ石油]]、[[出光興産]]の各石油ガソリンスタンドの[[フランチャイズ]]契約を結んでいる。新出光の創業者・出光弘と、出光興産の創業者・[[出光佐三]]は兄弟関係にあるが、従来両社に資本関係はなかった。しかし、2005年10月に出光興産が520億円の第三者割当増資をした際、新出光が3億円の出資をした事で資本関係が生まれた。2017年2月時点で出光興産ブランドのSSは長崎県本土と宮崎県の一部店舗のみである&lt;ref&gt;https://www.idex.co.jp/ss/ss-serch/index.html&lt;/ref&gt;。
国際紙パルプ商事株式会社,[[バッド・レリジョン]]の[[ブレット・ガーヴィッツ]]が、バッド・レリジョンのアルバムをリリースするために、一軒家を買い取って[[1981年]]に設立した。なお、[[1987年]]にリリースした[[L7(バンド)L7]]のアルバム『L7』が、バッド・レリジョン以外のバンドの最初のリリースアルバムである。当初は小さなレーベルであったが、[[1994年]]に[[オフスプリング]]が出したアルバム『[[スマッシュ(アルバム)スマッシュ]]』と低価格で発売したオムニバス『[[パンク・オー・ラマ]]-''PUNK-O-RAMA''-』が大ヒット。他のレコード会社もこぞって低価格オムニバスを発売し、リスナーを増やすことに成功した。またこれ以外にも無償で[[プロモーションビデオ]]をインターネット上で配布しており、そのことについて日本のメディアなどに紹介されたことがある。[[オフスプリング]]、[[NOFX]]、[[ランシド]]、[[ペニーワイズ]]などのパンク・バンドを輩出し、多数のパンク・バンドが所属する巨大なインディーズレーベルへと変貌した。だが、当初のスタイルは崩さず、未だに一軒家でWebサイト・ラジオ・音楽編集などを行っている。ちなみに裏庭ではいつでもパーティーが行えるようになっている。
旭食品株式会社,イギリスの[[シェフィールド]]で[[1989年]]設立。ロブ・ミッチェル、スティーブ・ベケットの2人により設立された。レーベル名は、当時彼らが働いていたレコードショップに因む。初期は[[LFO(バンド)LFO]]やNightmaresonWaxらのブリープテクノをリリースしていた。レーベルの知名度が一気に上がったのが、1992年からリリースした「アーティフィシャル・インテリジェンス・シリーズ」(AI)である。インテリジェントテクノと呼ばれた曲は、BPMが早いハードテクノ系が流行っていた中で注目を集め、同時に多くのアーティストがリリースしていく。このシリーズは[[1993年]]まで続いた。AIシリーズのヒットによりイギリスの中心テクノレーベルとして規模が大きくなり、その後もエレクトロニカ、[[アンビエント]]、または実験的なアルバムなどレーベルとしてのリリースの路線も固まっていく。[[2004年]]には、[[ITunesMusicStore]]でのダウンロード販売に乗り出すなど新しい販売方法へも他のレーベルより早く取り組んでいる。日本へは輸入版が早期から入ってきていたが、[[1994年]]から[[ソニー・ミュージック]]から多数の日本版アルバムがリリースされ、[[ライジング・ハイ]]、[[R&amp;Sレコーズ]]と共にテクノ3大レーベルとして紹介された。現在ではBeatRecordsから日本版が販売されている。2006年5月には日本でレーベルパーティー「i-WARP」を開催した。また2009年11月には[[エレクトラグライド]]提供による20周年記念のライブ「WARP20」が幕張メッセで開催された。
アイク株式会社,"1979年に大手・中堅の[[総合スーパーGMS]][[チェーンストア]]5社（[[ジャスコ]]後のイオン、[[ユニー]]、[[イズミヤ]]、[[忠実屋]]現在は[[ダイエー]]に合併、[[ユニード]]現在はダイエーに合併）が、海外商品の共同仕入れのために共同出資して設立した専門商社である。英語社名の「AIC」は「AlliedImportCompany」が由来となっている。直後にユニードがダイエー傘下入りのため脱退、後に忠実屋も同じ理由で脱退し、残る3社の共同仕入れ会社となっていたが、[[1999年]]にはユニーも脱退したため、イオンの子会社となった。その後は株式の3分の2をイオン、残余分をイズミヤが保有する形であったが、[[2007年]]8月にはイズミヤが所有する全株式をアイクへ譲渡（アイクが自己株式として取得）した為、イオンの完全子会社となった。2013年9月1日付で[[イオントップバリュ]]と合併した。存続会社はアイクだが、同時にイオントップバリュ（2代目）と商号変更している（[[逆さ合併]]）。{{イオングループ}}{{Company-stub}}{{DEFAULTSORT:あいく}}[[Category:イオングループの歴史]][[Category:ユニー脱あいく]][[Category:ダイエーの歴史あいく]][[Category:日本の商社]][[Category:日本の食品産業]][[Category:かつて存在した千葉県の企業]][[Category:美浜区の企業廃あいく]][[Category:美浜区の歴史]][[Category:日本の多国籍企業]][[Category:幕張新都心]][[Category:1979年設立の企業]][[Category:2013年廃止の企業]]</text><sha1>ntevsl0oi66wayf18nkwmaek0pmesiy</sha1></revision></page><page><title>片岡愛之助(6代目)</title><ns>0</ns><id>408175</id><revision><id>72749063</id><parentid>72090441</parentid><timestamp>2019-05-14T12:17:10Z</timestamp><contributor><username>Kitimi</username><id>1094632</id></contributor><comment>ルビ振りを変更</comment><model>wikitext</model><format>text/x-wiki</format><textxml:space""preserve"">{{歌舞伎役者芸名六代目{{ruby片岡かたおか}}{{ruby愛之助あいのすけ}}画像ファイル画像サイズ画像コメント屋号[[松嶋屋]]定紋追いかけ五枚銀杏[[File:OikakeGo-maiIchinverted.png50px]]生年1972生月3生日4血液型[[ABO式血液型B型]]没年没月没日本名片岡寛之（出生名：'''山元寛之'''）襲名歴1.片岡千代丸&lt;br/&gt;2.'''六代目片岡愛之助'''俳名別名三代目楳茂都扇性（[[楳茂都流]]四世家元）出身地[[大阪府]][[堺市]][[堺区]]神南辺町父[[片岡秀太郎(2代目)二代目片岡秀太郎]]（養父）母兄弟妻[[藤原紀香]]（[[2016年]]-）子&lt;!--役者として名の知られた人物のみ--&gt;当たり役公式サイトhttp://ameblo.jp/6ainosuke/}}六代目'''片岡愛之助'''（かたおかあいのすけ、[[1972年]]（[[昭和]]47年）[[3月4日]]-）は、[[歌舞伎]]役者。[[屋号]]は[[松嶋屋]]。[[定紋]]は[[:File:OikakeGo-maiIchinverted.jpg追いかけ五枚銀杏]]。歌舞伎[[名跡]]「[[片岡愛之助]]」の当代。本名は、'''片岡寛之'''（出生名は'''山元寛之'''）。[[血液型]]は[[ABO式血液型B型]]。[[上方舞]]の[[楳茂都流]]四世家元としての名取は'''三代目楳茂都扇性'''（さんだいめうめもとせんしょう）。妻は[[俳優女優]]・[[藤原紀香]]。"
